rom_name,display_name,year,manufacturer,players,rotation,status,is_clone,parent,category
kingrt66p,The King of Route 66 (prototype),2002,Sega,0,0,unknown,true,kingrt66,
kofnw,The King of Fighters Neowave,2004,Sammy / SNK Playmore,0,0,unknown,false,,
kofnwj,The King of Fighters Neowave (Japan),2004,Sammy / SNK Playmore,0,0,unknown,true,kofnw,
kofxi,The King of Fighters XI,2005,Sammy / SNK Playmore,0,0,unknown,false,,
kov7sprt,Knights of Valour - The Seven Spirits,2003,IGS / Sammy,0,0,unknown,false,,
kurucham,Kurukuru Chameleon (Japan) (GDL-0034),2006,Able,0,0,unknown,false,,
lovebero,"Love And Berry - 1st-2nd Collection (Export, Ver 1.003)",2006,Sega,0,0,unknown,true,lovebery,
lupinsho,Lupin The Third - The Shooting (Rev A) (GDS-0018A),2001,Sega / Eighting,0,0,unknown,false,,
lupinshoo,Lupin The Third - The Shooting (GDS-0018),2001,Sega / Eighting,0,0,unknown,true,lupinsho,
luptype,Lupin The Third - The Typing (Rev A) (GDS-0021A),2002,Sega,0,0,unknown,false,,
magicpop,Magical Poppins,2009,Sega,0,0,unknown,false,,
mamonoro,Mamoru-kun wa Norowarete Shimatta! (Japan),2008,G.Rev,0,270,unknown,false,,
manicpnc,"Manic Panic Ghosts! (USA, Export)",2007,Sega,0,0,unknown,false,,
marstv,Kasei Channel Mars TV (Japan),1999,Sega,0,0,unknown,false,,
maxspeed,Maximum Speed,2003,SIMS / Sammy,0,0,unknown,false,,
mazan,"Mazan: Flash of the Blade (World, MAZ2 Ver.A)",2002,Namco,0,0,unknown,false,,
mazanj,"Mazan: Flash of the Blade (Japan, MAZ1 Ver.A)",2002,Namco,0,0,unknown,true,mazan,
mazanu,"Mazan: Flash of the Blade (US, MAZ3 Ver.A)",2002,Namco,0,0,unknown,true,mazan,
mbaa,"Melty Blood Actress Again Version A (Japan, Rev A)",2008,Type-Moon / Ecole,0,0,unknown,false,,
mbaao,Melty Blood Actress Again (Japan),2008,Type-Moon / Ecole,0,0,unknown,true,mbaa,
meltyb,Melty Blood Act Cadenza Version B2 (Japan) (GDL-0039A),2006,Ecole Software,0,0,unknown,false,,
meltybld,Melty Blood Act Cadenza Ver. A (Japan) (GDL-0028C),2005,Ecole Software,0,0,unknown,false,,
meltyblo,Melty Blood Act Cadenza (Japan) (GDL-0028),2005,Ecole Software,0,0,unknown,true,meltybld,
meltybo,Melty Blood Act Cadenza Version B (Japan) (GDL-0039),2006,Ecole Software,0,0,unknown,true,meltyb,
mj1,"Sega Yonin Uchi Mahjong MJ Network Taisen Ver. (Update Disc Ver.3.000, Japan) (CDP-10002F)",2003,Sega,0,0,unknown,false,,
moeru,Moeru Casinyo (Japan) (GDL-0013),2002,Altron,0,0,unknown,false,,
mok,The Maze of the Kings (GDS-0022),2002,Sega,0,0,unknown,false,,
monkeyba,Monkey Ball (GDS-0008),2001,Sega,0,0,unknown,false,,
monomedal,Monopoly the Medal 2nd Edition (MDA-C0056A),2008,Sega,0,0,unknown,false,,
mslug6,Metal Slug 6,2006,Sega / SNK Playmore,0,0,unknown,false,,
mushi2eo,Mushiking The King Of Beetles - Mushiking II / III / III+ (Ver. 1.001) (World),2005,Sega,0,0,unknown,true,mushik2e,
mushi2k3,Mushiking The King Of Beetles 2003 Second (Japan),2003,Sega,0,0,unknown,false,,
mushi2k61,Mushiking The King Of Beetles 2006 First (Japan),2006,Sega,0,0,unknown,false,,
mushi2k62,Mushiking The King Of Beetles 2006 Second (Japan),2006,Sega,0,0,unknown,false,,
mushik2e,Mushiking The King Of Beetles - Mushiking II / III / III+ (Ver. 2.001) (World),2005,Sega,0,0,unknown,false,,
mushik2k,Mushiking The King Of Beetles - Mushiking II / III / III+ (Ver. 1.000-) (Korea),2005,Sega,0,0,unknown,true,mushik2e,
mushik4e,Mushiking The King Of Beetles - Mushiking IV / V / VI (World),2007,Sega,0,0,unknown,false,,
mushik4t,Mushiking The King Of Beetles - Mushiking IV / V / VI (Taiwan),2007,Sega,0,0,unknown,true,mushik4e,
mushike,"Mushiking The King Of Beetle (2K3 2ND Ver. 1.003-, World)",2004,Sega,0,0,unknown,false,,
mushikeo,"Mushiking The King Of Beetle (2K3 2ND Ver. 1.002-, World)",2004,Sega,0,0,unknown,true,mushike,
mushikk,"Mushiking The King Of Beetle (2K3 2ND Ver. 1.000-, Korea)",2004,Sega,0,0,unknown,true,mushike,
mvsc2,"Marvel Vs. Capcom 2: New Age of Heroes (Export, Korea, Rev A)",2000,Capcom / Marvel,0,0,unknown,false,,
mvsc2u,"Marvel Vs. Capcom 2: New Age of Heroes (USA, Rev A)",2000,Capcom / Marvel,0,0,unknown,true,mvsc2,
ngbc,NeoGeo Battle Coliseum,2005,Sammy / SNK Playmore,0,0,unknown,false,,
ngbcj,NeoGeo Battle Coliseum (Japan),2005,Sammy / SNK Playmore,0,0,unknown,true,ngbc,
ninjaslt,"Ninja Assault (World, NJA2 Ver.A)",2000,Namco,0,0,unknown,false,,
ninjaslta,"Ninja Assault (Asia, NJA4 Ver.A)",2000,Namco,0,0,unknown,true,ninjaslt,
ninjasltj,"Ninja Assault (Japan, NJA1 Ver.A)",2000,Namco,0,0,unknown,true,ninjaslt,
ninjasltu,"Ninja Assault (US, NJA3 Ver.A)",2000,Namco,0,0,unknown,true,ninjaslt,
ntvmys,"Nittere Shiki! Mirai Yosou Studio / NTV Future Forecast Studio (Japan, Rev A)",2000,Sega / NTV,0,0,unknown,false,,
ochaken,Ocha-Ken Hot Medal,2007,Sega,0,0,unknown,false,,
otrigger,OutTrigger,1999,Sega,0,0,unknown,false,,
pjustic,Project Justice / Moero! Justice Gakuen (Rev B),2000,Capcom,0,0,unknown,false,,
pjustica,Project Justice / Moero! Justice Gakuen (Rev A),2000,Capcom,0,0,unknown,true,pjustic,
pokasuka,Pokasuka Ghost! (Japan),2007,Sega,0,0,unknown,true,manicpnc,
pstone,Power Stone,1999,Capcom,0,0,unknown,false,,
pstone2,Power Stone 2,2000,Capcom,0,0,unknown,false,,
pstone2b,Power Stone 2 (bootleg),2000,Capcom,0,0,unknown,true,pstone2,
psyvar2,Psyvariar 2 - The Will To Fabricate (Japan) (GDL-0024),2003,Success,0,270,unknown,false,,
puyoda,Puyo Puyo Da! (Japan),1999,Compile,0,0,unknown,false,,
puyofev,Puyo Pop Fever (World) (GDS-0034),2003,Sega,0,0,unknown,false,,
puyofevj,Puyo Puyo Fever (Japan) (GDS-0031),2003,Sega,0,0,unknown,true,puyofev,
puyomedal,Puyo Puyo! The Medal Edition,2009,Sega,0,0,unknown,false,,
qmegamis,Quiz Aa! Megami-sama ~Tatakau Tsubasa to Tomoni~ (Japan),2000,Sega,0,0,unknown,false,,
quizqgd,Quiz Keitai Q mode (GDL-0017),2002,Amedio (Taito license),0,270,unknown,false,,
radirgy,"Radirgy (Japan, Rev A) (GDL-0032A)",2005,Milestone,0,270,unknown,false,,
radirgyn,Radirgy Noa (Japan),2009,Milestone / Lucky,0,0,unknown,false,,
radirgyo,Radirgy (Japan) (GDL-0032),2005,Milestone,0,270,unknown,true,radirgy,
rangrmsn,Ranger Mission,2004,RIZ Inc./ Sammy,0,0,unknown,false,,
rhytngk,Rhythm Tengoku (Japan),2007,Sega / Nintendo - J.P ROOM,0,0,unknown,false,,
ringout,Ring Out 4x4 (Rev A),1999,Sega,0,0,unknown,false,,
ringouto,Ring Out 4x4,1999,Sega,0,0,unknown,true,ringout,
rumblef,The Rumble Fish,2004,Sammy / Dimps,0,0,unknown,false,,
rumblef2,The Rumble Fish 2,2005,Sammy / Dimps,0,0,unknown,false,,
rumblefp,The Rumble Fish (prototype),2004,Sammy / Dimps,0,0,unknown,true,rumblef,
